Date,Open,High,Low,Close,Adj Close,Volume
2021-11-23,4.890000,4.890000,4.710000,4.760000,4.760000,73000
2021-11-24,4.710000,4.810000,4.710000,4.780000,4.780000,61800
2021-11-26,5.130000,5.330000,5.130000,5.250000,5.250000,36100
2021-11-29,5.290000,5.310000,5.250000,5.270000,5.270000,82500
2021-11-30,5.390000,5.390000,5.250000,5.310000,5.310000,410700
2021-12-01,5.110000,5.250000,5.000000,5.000000,5.000000,112400
2021-12-02,5.010000,5.010000,4.840000,4.950000,4.950000,131000
2021-12-03,4.840000,4.840000,4.700000,4.760000,4.760000,146600
2021-12-06,4.770000,4.770000,4.680000,4.750000,4.750000,104500
2021-12-07,4.780000,4.930000,4.780000,4.910000,4.910000,107400
2021-12-08,4.900000,4.900000,4.850000,4.870000,4.870000,49700
2021-12-09,4.910000,4.910000,4.790000,4.840000,4.840000,71300
2021-12-10,4.770000,4.900000,4.720000,4.780000,4.780000,68400
2021-12-13,4.810000,4.900000,4.720000,4.760000,4.760000,87800
2021-12-14,4.670000,4.670000,4.600000,4.620000,4.620000,131600
2021-12-15,4.600000,4.670000,4.560000,4.670000,4.670000,66100
2021-12-16,4.900000,4.900000,4.630000,4.630000,4.630000,107700
2021-12-17,4.530000,4.640000,4.530000,4.590000,4.590000,178700
2021-12-20,4.470000,4.610000,4.470000,4.530000,4.530000,111500
2021-12-21,4.720000,4.760000,4.680000,4.710000,4.710000,128000
2021-12-22,4.710000,4.800000,4.700000,4.760000,4.760000,89100
2021-12-23,4.840000,4.840000,4.710000,4.730000,4.730000,31400
2021-12-27,4.800000,4.820000,4.780000,4.790000,4.790000,52200
2021-12-28,4.750000,4.750000,4.650000,4.680000,4.680000,27200
2021-12-29,4.680000,4.680000,4.650000,4.680000,4.680000,26500
2021-12-30,4.700000,4.730000,4.680000,4.710000,4.710000,66300
2021-12-31,4.680000,4.720000,4.650000,4.720000,4.720000,40000
2022-01-03,4.900000,4.900000,4.640000,4.650000,4.650000,95000
2022-01-04,4.810000,4.880000,4.700000,4.730000,4.730000,172700
2022-01-05,4.710000,4.750000,4.670000,4.670000,4.670000,55000
2022-01-06,4.510000,4.580000,4.490000,4.530000,4.530000,56700
2022-01-07,4.520000,4.540000,4.490000,4.500000,4.500000,19100
2022-01-10,4.440000,4.440000,4.350000,4.390000,4.390000,102000
2022-01-11,4.440000,4.480000,4.420000,4.470000,4.470000,147300
2022-01-12,4.450000,4.450000,4.400000,4.420000,4.420000,55800
2022-01-13,4.550000,4.550000,4.420000,4.420000,4.420000,32000
2022-01-14,4.320000,4.350000,4.290000,4.350000,4.350000,93400
2022-01-18,4.140000,4.190000,4.090000,4.100000,4.100000,89600
2022-01-19,4.170000,4.200000,4.100000,4.100000,4.100000,117900
2022-01-20,4.250000,4.300000,4.070000,4.120000,4.120000,152100
2022-01-21,3.710000,3.710000,3.600000,3.620000,3.620000,170800
